close,high,low,open,timestamp,volume
42955,42955,42915,42928,1703754120,0.31368152
42967,42967,42961,42961,1703754180,0.03046796
42976,42976,42947,42953,1703754240,0.01081218
42976,42976,42976,42976,1703754300,0.00000000
42931,42952,42931,42952,1703754360,2.63207898
42920,42927,42920,42927,1703754420,0.06765665
42939,42939,42908,42919,1703754480,0.96024460
42948,42954,42946,42947,1703754540,0.13896097
42979,42979,42969,42969,1703754600,0.00325000
42979,42979,42979,42979,1703754660,0.00000000
42926,42936,42926,42936,1703754720,0.00819560
42941,42941,42941,42941,1703754780,0.07587232
42941,42953,42939,42944,1703754840,0.30184079
42908,42919,42908,42912,1703754900,0.71058635
42900,42908,42892,42908,1703754960,0.32521147
42930,42930,42930,42930,1703755020,0.00107000
42984,42984,42933,42933,1703755080,0.21402243
43009,43016,43006,43016,1703755140,0.51087091
43002,43008,42991,43008,1703755200,0.09695354
43032,43037,43010,43029,1703755260,0.46977723
43005,43009,43005,43005,1703755320,1.00475525
42994,43006,42994,43006,1703755380,0.09868499
42975,43000,42975,43000,1703755440,0.03950340
42967,42988,42967,42987,1703755500,0.29634501
42986,42986,42967,42967,1703755560,0.07491662
42972,42973,42972,42972,1703755620,0.31630000
42970,42970,42970,42970,1703755680,0.00609569
42969,42969,42961,42961,1703755740,0.00515061
42974,42974,42964,42964,1703755800,0.09060051
43001,43003,43001,43003,1703755860,0.06366000
43010,43010,43005,43005,1703755920,0.09130000
43041,43041,43020,43020,1703755980,1.37812902
43035,43040,43033,43033,1703756040,0.08658000
43035,43035,43031,43035,1703756100,0.08960796
43033,43041,43029,43029,1703756160,0.45627899
43067,43067,43040,43041,1703756220,23.35648031
43077,43077,43067,43067,1703756280,1.87067058
43080,43094,43080,43081,1703756340,3.33477516
43102,43102,43091,43096,1703756400,0.85955508
43090,43107,43090,43102,1703756460,1.64450546
43093,43093,43088,43088,1703756520,1.60475846
43095,43095,43091,43092,1703756580,2.19283227
43108,43108,43100,43108,1703756640,0.06183213
43097,43097,43080,43080,1703756700,0.21935742
43106,43106,43104,43104,1703756760,0.01438334
43096,43099,43096,43097,1703756820,0.09458095
43086,43086,43086,43086,1703756880,0.00189713
43098,43098,43085,43085,1703756940,5.80135823
43135,43135,43067,43067,1703757000,5.83701565
43080,43080,43079,43079,1703757060,0.00577501
43062,43073,43058,43063,1703757120,1.25592024
43062,43062,43062,43062,1703757180,0.00484425
43105,43105,43092,43093,1703757240,0.00574509
43114,43114,43099,43099,1703757300,0.01287759
43102,43102,43091,43091,1703757360,0.00122139
43079,43079,43079,43079,1703757420,0.00189000
43065,43065,43065,43065,1703757480,0.00446692
43062,43062,43062,43062,1703757540,0.00820000
43049,43065,43049,43063,1703757600,0.16038176
43058,43060,43039,43039,1703757660,0.00554618
43058,43058,43058,43058,1703757720,0.00000000
43086,43086,43073,43073,1703757780,0.00360692
43086,43086,43086,43086,1703757840,0.00561796
